formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Zr63.8Al11.4Ni17.2Cu7.6,-7.496062822,671,1153,758,0.582,0.415570175,0.14947866
Zr64.5Al9.2Ni13.2Cu13.1,-7.496062822,658,1138,757,0.578,0.421492205,0.136481187
Zr64.8Al8.3Ni11.4Cu15.5,-7.307429458,653,1143,752,0.572,0.418708241,0.141179572
Zr65.3Al6.5Ni8.2Cu20,-7.167059444,640,1188,745,0.539,0.407549234,0.158841584
Zr65.5Al5.6Ni6.5Cu22.4,-7.167059444,630,1211,733,0.52023,0.39815,0.175070028
Zr65Al7.5Cu17.5Ni10,-7.307429458,656.5,1167.6,735.6,0.56226,0.40327,0.17266
Zr66Al8Cu12Ni14,-7.496062822,655.1,1172.1,732.5,0.55891,0.40089,0.17728
Zr66Al8Cu7Ni19,-7.813158278,662.3,1200.8,720.7,0.55155,0.38683,0.208
Zr66Al8Ni26,-7.878340858,672,1251,707.6,0.53717,0.36797,0.25078
Zr66Al9Cu16Ni9,-7.307429458,657.2,1170.6,736.7,0.56142,0.40305,0.17297
