Ag,107
Cu,383
Zr,247
Pd,46
Ni,164
P,48
Al,196
Ca,73
Ti,96
Be,34
Y,81
Mg,120
Nb,59
Fe,91
Sn,19
Si,93
S,1
Pt,3
Sc,4
Co,66
B,89
C,32
Hf,24
Ta,3
Sm,2
Gd,28
Au,7
Mo,35
In,1
Ga,12
Nd,13
Dy,2
Zn,30
La,37
Cr,21
Er,8
Tb,5
Pr,3
Ho,2
Ce,12
Mn,1
Sr,7
Tm,2
Ge,2
