formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Co$_{43}$Fe$_{20}$Ta$_{5.5}$B$_{31.5}$,3.0196,,,1526,K,0.64351,5.5694,0.643512451,2,mm,,,0.179552555,0.4149,0.11688,,,0.59633,1.5942,,,982,K,,,0.40312,,,,,72,910,K,1.6755,,0.69069
Cu$_{65}$Hf$_{35}$,,,,1259,K,,,0.661,,,,,0.173015649,,,,,0.621,,,,832,K,,,0.408,,,,,51,781,K,,1.254,
Cu$_{55}$Hf$_{45}$,,,,1295,K,,,0.641,,,,,0.182545866,,,,,0.595,,,,830,K,,,0.402,,,,,59,771,K,,0.797,
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}97Cr3,2.0175,,,1474,K,0.5929,4.3524,0.592944369,3.5,mm,,,0.229758294,0.3691,0.0669,,,0.5638,1.3593,,,874,K,,,0.3792,,,,,43,831,K,1.6155,,0.6221
Cu$_{44}$Zr$_{44}$Ag$_{12}$,3.4008,,,1156,K,0.6609,6.5872,0.660899654,4,mm,,,0.15180957,0.4353,0.1695,,,0.5917,1.6186,,,764,K,,,0.4152,,,,,80,684,K,1.7087,,0.7301
Au$_{35}$Ca$_{65}$,,,,1116,K,,,,,,,,,,,,,0.508,,,,,,,,,,,,,,567,K,,0.711,
Mg$_{65}$Cu$_{15}$Ag$_{10}$Y$_{10}$,,7,mm,694,K,,,0.675792507,,,,,0.141126709,,,,,0.616714697,,,,469,K,,,0.418003565,,41,K,,,428,K,,,
Ag$_{10}$Cu$_{25}$Zr$_{65}$,,,,,,,,,,,,,,,,,,,,,,690.3411,K,,,,,,,,64.51378546,625.8273,K,,,
Fe$_{58}$Cr$_{5}$Mo$_{14}$Er$_{2}$C$_{15}$B$_{6}$,1.9079,,,1416,K,0.58545,4.1911,0.585451977,6,mm,,,0.238600845,0.35989,0.05778,,,0.56003,1.3307,,,829,K,,,0.37528,,,,,36,793,K,1.6054,,0.61088
Ca$_{40}$Mg$_{30}$Cu$_{30}$,2.437,,,694,K,0.6196,5.1768,0.619596542,0.5,mm,,,0.193169526,0.40246,0.11706,,,0.56916,1.4381,,,430,K,,,0.39486,,,,,35,395,K,1.6578,,0.67003
Mg$_{65}$Cu$_{15}$Ag$_{10}$Gd$_{10}$,3.7056,,,686,K,0.6691,6.6082,0.66909621,7.5,mm,,,0.151327139,0.43835,0.15926,,,0.60641,1.7,,,459,K,,,0.41652,,,,,43,416,K,1.7098,,0.73178
Fe$_{74.5}$Mo$_{5.5}$P$_{12.5}$C$_{5}$B$_{2.5}$,,,,1219,K,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,695,K,,,
Cu$_{50}$Zr$_{45}$Al$_{5}$,,,,1149.18,K,,,,,,,,,,,,,0.61,,,,,,,,,,,,,72,701,K,,,
Ce$_{70}$Al$_{15}$Cu$_{15}$,,,,774.4681,K,,,,,,,,0.257095942,,,,,0.47,,,,406,K,,,0.356619571,,,,,42,364,K,,,
